Time,HMF,HMFCA,DFF,FFCA,FDCA,DHMF
0,7.94499,0,0,0,0,0
10,4.77405,0.63978,0.27258,0.20427,1.71842,0.23304
20,3.0178,0.84417,0.32674,0.33186,3.38047,0.01893
30,1.49965,0.58071,0.24799,0.16693,5.49592,0.00503
40,0.91307,0.72951,0.25887,0.34698,5.72274,0
50,0.4355,0.64157,0.18334,0.2498,6.47833,0
60,0.1972,0.35143,0,0.14713,7.67383,0
70,0.1207,0.17344,0,0.07903,7.91034,0
