Time,HMF,HMFCA,DFF,FFCA,FDCA,DHMF
0,8.09951,0,0,0,0,0
10,5.45351,0.66246,0.21306,0.17084,1.25234,0.32141
20,4.06055,0.75942,0.2494,0.29454,2.68751,0.0973
30,2.58642,1.07662,0.30135,0.287,3.74507,0.01658
40,1.75362,1.02518,0.30654,0.27102,4.85647,0
50,1.15243,0.89993,0.23664,0.24844,5.59863,0
60,0.75915,0.83045,0.23938,0.19472,5.94874,0
70,0.52338,0.50172,0.20881,0.1208,6.87843,0
80,0.32878,0.38712,0,0.13202,7.14862,0
90,0.17944,0.29962,0,0.06544,7.71779,0
